task_key	support_ids	outline	status
checkpoint-11-1-one-versus-density	c11s1-subsec-volume-as-triple-integral	Each term1 Delta V is a cell volume; density Delta V is the cell amount.	supported
checkpoint-11-1-three-ordinary-integrals	c11s1-subsec-integrals-over-boxes	Group the same small box contributions along one direction, then the next two. It is a geometric discovery explanation; continuous-box Fubini is supplied immediately below.	supported_at_stated_informal_level
checkpoint-11-1-six-orders-same-answer	c11s1-thm-fubini-boxes	There are3!=6 orders, and continuous-box Fubini states their agreement.	supported
checkpoint-11-2-inequalities-to-limits	c11s2-subsec-describing-by-inequalities	Choose outer x then y then z; the innermost integral traverses exactly the allowed z interval for the already fixed x,y.	supported
checkpoint-11-2-slice-drops-a-dimension	c11s2-thm-triple-integral-z-simple	After z integration, the result depends only on x,y and is integrated over the planar shadow.	supported
checkpoint-11-2-reorder-needs-redescribe	c11s2-subsec-describing-by-inequalities,c11s2-def-z-simple-solid	Solve x+ y+z<=6 for the new inner variable x; its yz shadow is0<=y<=6,0<=z<=6-y. The prompt itself supplies the new inequalities, so no future solution is needed.	supported
checkpoint-11-3-why-factor-r	c11s3-subsec-volume-element	The angular edge has length r Delta theta, so the same angular increment spans more distance farther from the axis. This asks for local geometry, not the missing integration bridge ROOT-02.	supported
checkpoint-11-3-why-round-shapes-fit	c11s3-subsec-cylinders-cones-symmetry	Rotational symmetry removes theta from boundary equations, unlike a rectangular box.	supported
checkpoint-11-3-tubes-and-revolution	c11s3-subsec-solids-revolution-tubes	A full angular sweep gives circumference2pi r; multiply by radial thickness and vertical extent. The r in the integral records circumference per angle.	supported
checkpoint-11-4-volume-element-factor	c11s4-subsec-volume-element	Radial edge d rho, meridian arc rho d phi, latitude arc rho sin phi d theta; multiply. Exact integration still needs ROOT-02 repair, but this geometric checkpoint is prepared.	supported
checkpoint-11-4-shells-are-easy	c11s4-subsec-balls-shells-cones	Concentric balls/shells have constant radial bounds and full constant angular bounds.	supported
checkpoint-11-4-angular-factors-out	c11s4-subsec-radial-densities	For radial density, integrate sin phi to2 and theta to2pi. A general density mixing rho,phi cannot factor its radial part from phi; a separable special case still can.	supported
checkpoint-11-5-axis-distance	c11s5-moment-of-inertia	A point on the axis has circular radius and speed0 even if far from the origin; distance to the axis governs rotational weight.	supported
checkpoint-11-5-same-integral-many-meanings	c11s5-total-charge-and-total-energy	Multiply density by cell volume and add; units identify mass, charge or energy.	supported
checkpoint-11-5-why-integrate-to-one	c11s5-probability-in-three-dimensions	The point must lie somewhere in its sample region; the hint explicitly identifies certainty with probability1.	supported_with_announced_hint
checkpoint-11-6-what-stays-and-what-changes	c11s6-def-higher-dimensional-integral	Box products and weighted sums generalize; visualization does not. Optional section explicitly supplies n-dimensional Fubini below.	optional_supported
checkpoint-11-6-volume-near-the-surface	c11s6-subsec-what-changes-in-rn	Volume ratio is(1/2)^n, tending to0. This proves exclusion of the inner half-size cube, not an unspecified shrinking-width concentration theorem.	optional_supported
checkpoint-11-6-ball-volume-decreases	c11s6-unit-ball-volume-recurrence	Vn=(2pi/n)V(n-2); after n>=13 the factor is less than1/2, so both parity subsequences tend to0. The preceding recurrence supplies what the weaker hint alone would not prove.	optional_supported
